Timestamp,Do you agree to take part in this study?,Please enter your Prolific ID,Can you name the visualization method used in the chart below?,Can you name the visualization method used in the chart below?,Can you name the visualization method used in the chart below?,Can you name the visualization method used in the chart below?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Considering the tasks that you've just performed, how do you rate the treemap visualization method?","Considering the tasks that you've just performed, how do you rate the bubble chart visualization method?","Considering the tasks that you've just performed, how do you rate the donut chart visualization method?","Considering the tasks that you've just performed, how do you rate the blob plot visualization method?","Based on your personal preference, which of these methods did you find most aesthetically pleasing?","Given that a visualization is just a representation of the data, and that the data is just a representation of reality, the process of modeling reality into a visualization carries an important component of underlying uncertainty and imprecisions. In your opinion, which visualization method best conveys the idea of imprecision in the data?","Please feel free to write in this field any impressions, feedbacks, criticisms or opinions about the ""blob plot"" method.","Based on your personal preference, which of these methods would you prefer to use for tasks similar to those you performed in this study?"
7/15/2024 13:16:46,I agree.,6161cb3de3d274978d46575b,"I don't know the name, but I've seen a chart like this before.",Donut chart,"I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",A,4,B,4,A,4,B,2,B,2,A,3,B,4,B,3,A,5,A,3,B,5,B,4,B,3,B,2,A,5,B,4,B,2,B,5,B,4,A,4,B,3,A,4,A,5,A,5,3,1,4,2,Donut chart,Blob plot,,Donut chart
7/15/2024 13:16:55,I agree.,5c416b55bc9c0c00014ed96e,"I don't know the name, but I've seen a chart like this before.","I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,4,B,2,A,4,B,1,A,4,A,5,B,4,B,3,A,4,A,1,B,4,B,4,B,5,A,1,A,3,B,2,A,2,B,4,B,1,A,4,B,4,A,2,A,2,A,4,2,3,3,1,Donut chart,Bubble chart,irregular shapes are very hard to judge based on area so it's not very effective,Bubble chart
7/15/2024 13:17:04,I agree.,5f7f32c0cc42e5080e8770f8,"I don't know the name, but I've seen a chart like this before.",Pie chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,3,B,5,A,5,A,4,A,4,A,5,B,4,B,3,A,5,A,2,B,5,B,5,B,5,B,1,A,2,B,2,B,2,B,4,B,4,A,3,B,4,A,1,A,5,A,5,2,3,4,2,Donut chart,Blob plot,It's difficult to compare the area taken by two different shapes.,Donut chart
7/15/2024 13:17:11,I agree.,5f48ad0e6aa639367b5134f8,Line chart,Donut chart,Bubble chart,Pie chart,B,4,B,5,A,5,A,3,A,5,A,5,B,3,B,4,A,5,A,3,B,5,B,5,B,5,B,4,A,5,B,4,B,5,B,5,B,4,A,5,B,4,A,5,A,5,A,5,4,4,4,4,Treemap,Blob plot,"Is undersized, wavy sides",Treemap
7/15/2024 13:17:11,I agree.,652d560e571b3422cccf3398,Treemap,Donut chart,"I don't know the name, and I've never seen a chart like this before.",Bubble chart,B,4,B,4,A,5,A,2,A,4,A,4,B,3,B,3,A,5,A,1,B,5,B,5,B,4,B,3,A,4,B,2,A,2,B,4,B,4,A,4,B,3,A,5,A,3,A,5,3,2,4,4,Blob plot,Donut chart,,Blob plot
7/15/2024 13:17:17,I agree.,5abc0d68436f550001ff83ff,"I don't know the name, but I've seen a chart like this before.",Pie chart,"I don't know the name, but I've seen a chart like this before.",Bubble chart,B,3,B,4,A,4,B,3,A,4,A,4,B,4,A,3,A,3,A,4,B,4,B,5,B,3,B,4,A,3,B,4,B,3,B,4,B,3,A,3,B,2,A,4,A,4,A,4,4,4,3,3,Donut chart,Treemap,it seems to me that the circles are fairly similar in size,Donut chart
7/15/2024 13:17:50,I agree.,60fd95794a7e209941cb1803,Line chart,Pie chart,Bubble chart,"I don't know the name, and I've never seen a chart like this before.",B,5,B,5,A,1,A,5,A,5,A,5,B,5,A,3,A,5,A,5,B,5,B,5,B,5,B,2,A,3,B,3,B,2,B,5,B,4,A,3,A,1,A,5,A,5,A,5,1,3,2,1,Treemap,Blob plot,hurts the eyes,Bubble chart
7/15/2024 13:17:55,I agree.,65e1eed9e85da887cb8c3016@email.prolific.com,"I don't know the name, but I've seen a chart like this before.",Pie chart,"I don't know the name, and I've never seen a chart like this before.",Bubble chart,B,5,B,5,A,5,A,5,A,5,A,5,B,5,B,5,B,5,A,3,B,5,B,5,B,5,B,3,A,5,B,5,B,4,B,5,B,4,A,5,B,4,A,5,A,5,A,5,5,2,5,1,Donut chart,Treemap,the study was clear and quite informative,Treemap
7/15/2024 13:18:21,I agree.,65cb8b8e6eab3e66a7800ed1,"I don't know the name, but I've seen a chart like this before.","I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,2,B,5,A,5,A,2,A,3,A,5,B,3,B,2,A,5,A,2,B,5,B,5,B,2,B,4,A,4,B,2,A,2,B,5,B,5,A,4,B,3,A,4,A,5,A,4,3,4,5,2,Donut chart,Blob plot,"Not easy to compare the volumes, but looks fun.",Donut chart
7/15/2024 13:18:21,I agree.,652aa9b5e6611be3c854e992,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,4,B,5,A,5,A,3,A,3,A,5,B,2,B,4,A,5,A,5,B,4,B,5,B,5,B,4,A,2,B,2,A,3,B,5,B,5,A,5,B,4,A,3,A,3,A,4,2,5,4,1,Donut chart,Donut chart,It is a bit confusing.,Bubble chart
7/15/2024 13:18:42,I agree.,64da7419175c97c2e12b9d7a,Bar chart,Donut chart,Blob plot,Bubble chart,B,3,B,5,A,5,A,2,A,3,A,5,A,2,B,5,A,5,B,1,B,5,B,5,B,5,B,1,A,5,B,2,B,1,B,5,B,5,A,3,A,1,A,3,A,5,A,5,3,5,5,2,Bubble chart,Donut chart,It's hard to tell which object is bigger because some a skewed ,Bubble chart
7/15/2024 13:19:09,I agree.,668951d999f32641de80ae14,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,4,B,5,A,5,A,4,A,4,A,5,B,5,B,5,A,4,A,5,B,5,B,5,B,5,B,5,A,5,B,4,B,3,B,5,B,5,A,5,B,5,A,5,A,5,A,5,3,4,5,4,Donut chart,Donut chart,It is quite confusing ,Donut chart
7/15/2024 13:19:16,I agree.,613fa4d04ecfee3c8fee8a2a,"I don't know the name, and I've never seen a chart like this before.",Pie chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,5,B,4,A,4,A,3,A,4,A,4,B,5,B,4,A,3,A,3,B,4,B,4,B,4,B,2,A,4,B,3,A,3,B,3,B,3,A,3,B,4,A,3,A,4,A,4,4,3,4,3,Donut chart,Donut chart,it looks like pebbels,Treemap
7/15/2024 13:19:20,I agree.,664375a583a249528959f024,"I don't know the name, but I've seen a chart like this before.",Pie chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,4,B,4,A,5,A,2,A,4,A,5,B,4,B,4,A,4,A,2,B,5,B,5,B,4,B,2,A,4,B,2,B,1,B,4,B,4,A,4,B,2,A,3,A,4,A,4,2,3,4,1,Donut chart,Blob plot,it's hard to compare the size when both of them look close in the size.  The curve and irregular shape makes people hard to compare among other type of charts.  ,Donut chart
7/15/2024 13:19:22,I agree.,664b6ae07c35f8f864f727d3,"I don't know the name, but I've seen a chart like this before.","I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,4,B,5,A,5,A,3,A,4,A,5,B,5,B,4,A,5,A,3,B,5,B,5,B,4,B,3,A,4,B,2,A,3,B,5,B,4,A,4,B,4,A,3,A,4,A,5,4,5,3,2,Bubble chart,Donut chart,it is a bit confusing and difficult to tell which part is larger,Bubble chart
7/15/2024 13:19:31,I agree.,60a2d0f8a996c447692d4b73,"I don't know the name, but I've seen a chart like this before.",Donut chart,"I don't know the name, but I've seen a chart like this before.",Bubble chart,A,4,B,3,A,4,A,4,A,3,A,5,B,2,B,3,A,4,A,3,B,4,B,5,B,4,B,3,A,3,A,2,A,2,B,3,B,3,A,3,B,3,A,3,A,3,A,3,3,3,4,3,Blob plot,Blob plot,"The more irregular the blobs' shapes are, the harder it is to compare their sizes (unless the difference is apparent and visible, like a dot-sized blob and a planetary sized blob). Still, it is rather pleasing to look at and is not too ""uptight"" - as such, it will be just as acceptable to average, uninitiated viewers and a scholars alike.",Treemap
7/15/2024 13:19:49,I agree.,60d03160fba3d531490b1eac,"I don't know the name, and I've never seen a chart like this before.",Pie chart,Bubble chart,Donut chart,B,5,B,5,B,5,A,5,A,4,A,5,B,5,B,5,A,5,A,4,B,5,B,4,B,4,A,5,B,4,B,4,A,4,B,5,B,5,A,5,B,5,A,4,A,4,A,5,4,4,4,4,Donut chart,Blob plot,first time seeing this one,Bubble chart
7/15/2024 13:20:13,I agree.,650af19496df3f84df395376,"I don't know the name, but I've seen a chart like this before.","I don't know the name, but I've seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",Bubble chart,B,2,B,4,A,4,A,3,A,3,A,5,A,3,A,4,A,5,A,3,B,5,B,4,B,3,B,2,A,4,B,2,B,3,B,2,B,3,B,2,B,2,A,3,A,4,A,4,4,4,5,2,Donut chart,Bubble chart,quite effective but i prever more geometric shapes,Treemap
7/15/2024 13:20:14,I agree.,6022e5110749ea0d2a3aee45,"I don't know the name, but I've seen a chart like this before.",Pie chart,Bubble chart,Donut chart,B,5,B,5,A,5,A,4,A,5,A,5,B,4,A,2,A,5,A,5,B,5,B,5,B,4,B,4,A,4,B,3,B,4,B,4,B,4,A,4,B,4,A,4,A,4,A,5,1,2,4,1,Donut chart,Blob plot,No comment,Donut chart
7/15/2024 13:20:18,I agree.,5fc58cd91b53521031a2d369,"I don't know the name, and I've never seen a chart like this before.",Donut chart,"I don't know the name, and I've never seen a chart like this before.",Bubble chart,B,2,B,4,A,5,A,1,A,2,A,4,B,1,A,1,A,5,A,1,B,5,B,4,B,4,B,1,A,1,B,1,A,1,B,4,B,4,A,2,B,1,A,2,A,5,A,4,2,1,3,1,Donut chart,Blob plot,"Shapes are irregular, so it's difficult to determine the area differences of similarly-sized shapes.",Donut chart
7/15/2024 13:22:25,I agree.,613f57084e80f056c78f9b7b,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,4,B,5,A,5,A,5,A,5,A,5,B,4,B,5,A,5,A,4,B,5,B,5,B,5,B,4,A,4,B,3,A,3,B,5,B,5,A,4,B,4,A,5,A,5,A,5,4,5,5,2,Donut chart,Blob plot,Imprecise shape of blobs makes it difficult to compare data. It is also just not pleasing to my eye.,Donut chart
7/15/2024 13:23:05,I agree.,653ffbc95a3f7389dbd916ce,Heatmap,Bubble chart,"I don't know the name, but I've seen a chart like this before.",Bubble chart,A,5,B,4,A,5,A,2,B,5,A,5,B,4,B,4,A,5,A,2,B,5,B,5,B,3,B,1,A,2,B,2,A,4,B,5,B,3,A,4,B,5,A,4,A,5,A,5,5,4,5,3,Treemap,Blob plot,I don't know if you can be accurate with this chart,Donut chart
7/15/2024 13:23:28,I agree.,64ef07288696e4995e9a1a84,"I don't know the name, but I've seen a chart like this before.",Donut chart,Bubble chart,"I don't know the name, and I've never seen a chart like this before.",B,3,B,5,A,5,A,4,A,3,A,5,B,5,B,4,A,5,A,5,B,5,B,5,B,5,B,5,A,4,B,3,A,3,B,5,B,5,A,4,B,5,A,5,A,5,A,5,4,5,5,1,Bubble chart,Blob plot,Data is more difficult to read or interpret if it is on the blob plot,Donut chart
7/15/2024 13:23:34,I agree.,6112e38f811a9d11384fd173,Treemap,Donut chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,3,B,5,A,5,A,3,A,3,A,4,B,3,B,4,A,5,A,1,B,5,B,5,B,5,B,2,A,2,B,1,B,1,B,5,B,3,A,3,B,2,A,2,A,4,A,5,3,3,4,1,Donut chart,Donut chart,This method leaves a lot of uncertainty.it doesn't represent visually well.and it's difficult to measure.,Donut chart
7/15/2024 13:25:13,I agree.,611cdcbb1152bad5b9abdc92,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,2,B,5,A,5,A,3,A,1,A,5,B,3,B,4,A,5,A,4,B,5,B,4,A,1,B,4,A,3,B,3,A,4,B,5,B,5,A,1,B,3,A,4,A,5,A,5,2,4,5,4,Blob plot,Blob plot,It is easy to interpret compared to the others,Bubble chart
7/15/2024 13:26:39,I agree.,6112aa865f237cf99d0b0094,Treemap,Donut chart,"I don't know the name, but I've seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,4,B,5,A,5,A,2,A,3,A,4,B,5,B,4,A,5,A,2,B,4,B,4,B,2,B,4,A,3,B,1,A,2,B,5,B,1,A,2,B,3,A,2,A,4,A,5,4,3,5,2,Donut chart,Blob plot,"sometimes the blobs kind of look like they are the same or equal, making it difficult to read the data",Donut chart
7/15/2024 13:26:48,I agree.,60f1f0451c60dfa03f25531a,"I don't know the name, but I've seen a chart like this before.",,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,3,B,5,A,5,A,2,A,4,A,5,B,4,B,5,A,5,A,4,B,5,B,5,B,3,B,3,A,4,B,1,A,1,B,5,B,4,A,4,B,5,A,5,A,5,A,5,3,5,5,1,Blob plot,Bubble chart,It is my least favourite,Bubble chart
7/15/2024 13:28:27,I agree.,666344dba2da60671bb7773a,"I don't know the name, but I've seen a chart like this before.",Donut chart,"I don't know the name, but I've seen a chart like this before.",Bubble chart,B,4,B,5,A,5,A,5,A,4,A,5,B,5,B,5,A,5,A,5,B,5,B,5,B,5,B,5,A,5,B,5,B,5,B,5,B,5,A,5,A,4,A,4,A,5,A,5,3,4,5,3,Bubble chart,Treemap,Measuring blobs is abit hard and might display inaccurate answers,Donut chart
7/15/2024 13:29:06,I agree.,65e1d41e621d00b12c72923f,"I don't know the name, but I've seen a chart like this before.",Donut chart,"I don't know the name, and I've never seen a chart like this before.",Bubble chart,B,5,B,5,A,5,A,5,A,5,A,5,B,5,B,5,A,5,A,5,B,5,B,5,B,5,B,5,A,5,B,5,A,5,B,5,B,5,A,5,B,5,A,5,A,5,A,5,5,5,5,3,Treemap,Blob plot,Imperfect representation of data. ,Treemap
7/15/2024 13:29:54,I agree.,6686f834fd4c9f0bdb7bc8b8,Treemap,Pie chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,3,B,4,A,5,A,4,A,5,A,5,B,5,B,5,A,5,A,4,B,5,B,5,B,5,B,4,A,4,B,5,A,4,B,5,B,5,A,5,B,5,A,5,A,5,A,5,5,4,5,4,Donut chart,Blob plot,It lacks exactness and unclear to me,Donut chart
